top - 11:40:14 up 4 days, 14:29,  2 users,  load average: 0.63, 0.56, 0.49
Threads: 296 total,   1 running, 295 sleeping,   0 stopped,   0 zombie
%Cpu(s): 44.7 us,  1.5 sy,  0.0 ni, 53.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:  32723396 total, 32452020 used,   271376 free,   482144 buffers
KiB Swap:  8388604 total,    55952 used,  8332652 free. 11876896 cached Mem

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
105933 bppbjira  20   0 22.069g 0.015t 772788 S 43.75 48.88   1:08.65 java
105934 bppbjira  20   0 22.069g 0.015t 772788 S 43.75 48.88   1:08.32 java
105936 bppbjira  20   0 22.069g 0.015t 772788 S 43.75 48.88   1:08.64 java
105938 bppbjira  20   0 22.069g 0.015t 772788 S 43.75 48.88   1:08.69 java
105940 bppbjira  20   0 22.069g 0.015t 772788 S 43.75 48.88   1:08.79 java
105935 bppbjira  20   0 22.069g 0.015t 772788 S 37.50 48.88   1:08.79 java
105937 bppbjira  20   0 22.069g 0.015t 772788 S 37.50 48.88   1:08.70 java
105939 bppbjira  20   0 22.069g 0.015t 772788 S 31.25 48.88   1:08.52 java
105953 bppbjira  20   0 22.069g 0.015t 772788 R 18.75 48.88   2:39.82 java
106273 bppbjira  20   0 22.069g 0.015t 772788 S 18.75 48.88   2:05.46 java
105931 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
105932 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.61 java
105941 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   2:31.75 java
105942 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.22 java
105943 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.33 java
105944 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.54 java
105945 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.79 java
105946 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.84 java
105947 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:02.32 java
105948 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:03.42 java
105949 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.07 java
105950 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.46 java
105951 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:09.13 java
105952 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:09.16 java
105954 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:42.77 java
105955 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:56.12 java
105956 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
105957 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
105958 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   5:50.27 java
105959 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   5:42.18 java
105960 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   5:41.25 java
105961 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   2:38.12 java
105962 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
105963 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:31.77 java
105964 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:02.03 java
105965 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
105966 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.84 java
105970 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.31 java
105972 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
105973 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
105974 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:17.56 java
105975 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
105976 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:02.24 java
105977 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.21 java
105978 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
105980 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.32 java
105981 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.15 java
105984 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.06 java
105985 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.53 java
105993 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.01 java
105999 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106000 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.61 java
106004 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.03 java
106005 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106006 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.44 java
106032 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.56 java
106033 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.54 java
106034 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.61 java
106035 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.59 java
106036 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.54 java
106037 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.53 java
106038 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.55 java
106039 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.49 java
106040 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.50 java
106041 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.39 java
106042 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.53 java
106045 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.42 java
106046 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.61 java
106047 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.56 java
106048 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.37 java
106049 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.51 java
106050 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.51 java
106051 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.49 java
106052 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.35 java
106053 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.45 java
106054 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.63 java
106055 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.51 java
106056 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.06 java
106068 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.88 java
106069 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.30 java
106070 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.26 java
106071 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88  10:04.96 java
106074 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   3:27.15 java
106075 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106076 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.90 java
106091 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.13 java
106092 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:08.39 java
106093 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.32 java
106094 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.02 java
106095 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.03 java
106096 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.00 java
106097 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.06 java
106098 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.86 java
106099 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.12 java
106100 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.01 java
