top - 15:10:23 up 27 days, 12:51,  1 user,  load average: 8.91, 8.91, 9.00
Threads: 695 total,  12 running, 683 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7.6 us,  0.7 sy,  0.0 ni, 91.4 id,  0.0 wa,  0.0 hi,  0.4 si,  0.0 st
KiB Mem : 26403688+total, 13389056+free, 46825504 used, 83320816 buff/cache
KiB Swap:  5996540 total,  5996540 free,        0 used. 21317566+avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
138980 jira      20   0 60.196g 0.038t 4.782g R 99.9 15.4  89:34.68 java
148630 jira      20   0 60.196g 0.038t 4.782g R 99.9 15.4   4:15.72 java
 61885 jira      20   0 60.196g 0.038t 4.782g R 99.9 15.4  15:08.86 java
138979 jira      20   0 60.196g 0.038t 4.782g R 99.9 15.4  88:53.95 java
138983 jira      20   0 60.196g 0.038t 4.782g R 99.9 15.4  88:22.90 java
164825 jira      20   0 60.196g 0.038t 4.782g R 94.1 15.4   4:04.32 java
138982 jira      20   0 60.196g 0.038t 4.782g R 82.4 15.4  90:05.99 java
148634 jira      20   0 60.196g 0.038t 4.782g R 64.7 15.4   4:36.97 java
138981 jira      20   0 60.196g 0.038t 4.782g S 58.8 15.4  88:08.63 java
148631 jira      20   0 60.196g 0.038t 4.782g R 35.3 15.4   3:27.69 java
193107 jira      20   0 60.196g 0.038t 4.782g S 17.6 15.4  36:24.51 java
135216 jira      20   0 60.196g 0.038t 4.782g S 11.8 15.4 167:22.03 java
155907 jira      20   0 60.196g 0.038t 4.782g S  5.9 15.4 158:43.43 java
 12323 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
 12327 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:01.24 java
 12334 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:31.02 java
 12335 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:31.45 java
 12336 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:42.50 java
 12337 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:24.49 java
 12339 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:22.78 java
 12340 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:34.48 java
 12342 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:35.80 java
 12344 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:36.99 java
 12345 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:09.87 java
 12346 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:27.63 java
 12347 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:31.34 java
 12348 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:15.87 java
 12349 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:19.30 java
 12350 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:15.40 java
 12351 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:28.11 java
 12352 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:29.38 java
 12353 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:38.53 java
 12354 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:27.12 java
 12355 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:36.90 java
 12356 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:51.88 java
 12357 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:24.20 java
 12358 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:31.79 java
 12359 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:38.32 java
 12360 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:26.65 java
 12361 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:33.64 java
 12362 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:35.63 java
 12363 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:23.05 java
 12364 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:16.08 java
 12365 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:24.03 java
 12366 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:20.21 java
 12367 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:35.61 java
 12368 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:31.40 java
 12369 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 438:28.94 java
 12371 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  61:36.47 java
 12372 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   5:27.41 java
 12373 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   5:36.82 java
 12374 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   5:48.60 java
 12376 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   5:56.97 java
 12378 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   6:11.04 java
 12379 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   6:22.33 java
 12380 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   6:36.88 java
 12381 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   6:48.96 java
